pmid,pmcid,title,year,extraction_status,confidence,source,n_genes,genes,context,has_fulltext
42030617,,A computational framework identifies a matrisome-related gene signature for bladder cancer prognosis and prioritizes candidate compounds.,2026,extracted,high,abstract,9,SERPINE2|RBP7|SPINK4|CD3D|CLDN5|TSPAN8|FADS1|CLIC3|KRT4,"Subsequently, a nine-gene prognostic signature (SERPINE2, RBP7, SPINK4, CD3D, CLDN5, TSPAN8, FADS1, CLIC3, and KRT4) was developed using univariate Cox, LASSO, and multivariate Cox regression analyses.",N
42493447,,[Development of a 36-gene signature for predicting recurrence in non-muscle-invasive bladder cancer and validation in a Chinese cohort].,2026,extracted,medium,fulltext_figure_ocr,36,ZNF41|ADAMTSL4|PLA2G2A|CP|SLC29A2|BNC2|PEG10|MUC3A|ASB7|MYO5B|PRR26|HSD17B14|FOSB|ZNF556|SERPINE2|XG|SH3RF1|GSTA1|GABRA3|PANX2|SMAGP|CALHM6|EMX2OS|STX16|PTGS2|SRRD|DSC3|CNGA1|TNFRSF10D|DSC2|DDX3Y|ADGRF1|RAB38|PACRG|CCL28|CDKN2B,"Gene names were read from the forest plot in the published full-text figure. LASSO coefficients were not provided in the public text, so equal-weight scoring was used in this audit.",Y
42576531,,Construction and Validation of a Ubiquitination-Related Gene Signature Based on WGCNA and Single-cell RNA Sequencing in Bladder Cancer.,2026,extracted,high,abstract,6,CAPG|EMP3|GMFG|HLA-B|ID1|TNFRSF12A,"The immune infiltration, immunotherapy response, and drug sensitivity were evaluated.A six-gene signature comprising CAPG, EMP3, GMFG, HLA-B, ID1, and TNFRSF12A stratified patients into high-risk and low-risk groups with significantly different overall survival.",N
42500328,,Epigenomics-Guided Multi-Omics Integration Uncovers a Lipid-Metabolic Signature with Translational Utility in Bladder Cancer.,2026,extracted,high,fulltext_window,4,FGFR2|TP53|NR1H2|NR1H3,"ersonalization rather than actionable treatment recommendations. A B Fig. 3. Stage- and gene-subtype-specific impact and clinical utility of the 25-gene signature. (A) Stage-stratified Kaplan–Meier curves showing the prognostic impact of the 25-gene risk score in stage 2 (hazard ratio [HR] = 2.24), stage 3 (HR = 2.83), and stage 4 (HR = 1.72) bladder cancer (BLCA). (B) Genotype-stratified survival analyses within key gene-defined subtypes, including fibroblast growth factor receptor 2/3 (FGFR2/3",Y
42482080,,A bladder cancer-associated gene signature for exploratory qPCR-based survival stratification in NAC-Treated muscle-invasive bladder cancer.,2026,extracted,high,abstract,3,CD274|HAVCR2|TIGIT,"High-signature tumors exhibited an immune-dysregulated microenvironment characterized by increased immune checkpoint expression (CD274, HAVCR2, TIGIT) and reduced antigen-presentation machinery.",N
42436798,,Prognostic and immunological implications of a mitophagy-associated gene signature in bladder cancer.,2026,extracted,high,abstract,5,NTN4|AKR1B1|FBXW7|MYH10|IGF2BP3,"Drug sensitivity and molecular alteration profiles were interrogated to identify potential personalized therapeutic avenues.A five-core-gene signature (NTN4, AKR1B1, FBXW7, MYH10, and IGF2BP3) was established.",N
42421957,,Liquid-liquid phase separation-associated gene networks link EMT and ferroptosis to define a PDGFRB-centered prognostic signature in bladder cancer.,2026,extracted,high,abstract,5,PDGFRB|FLNA|JUN|SNAI2|ITGB1,"Tissue validation was conducted in clinical specimens and a mouse orthotopic model.We identified a 5-gene signature (PDGFRB, FLNA, JUN, SNAI2, and ITGB1) that effectively stratifies BLCA patients into distinct risk groups.",N
42215586,,Ethnicity-specific molecular subtypes and a machine-learning risk model in Asian patients with non-muscle-invasive bladder cancer.,2026,extracted,low,abstract,3,RABL6|MYBL2|RAD54L,"Non-muscle-invasive bladder cancer (NMIBC) has high rates of recurrence and progression, yet its molecular landscape across different ethnicities remains poorly defined. We assembled a meta-cohort of 202 Asian NMIBC transcriptomes and identified three novel molecular subtypes (AC0, AC1, AC2) using non-negative matrix factorization clustering. These subtypes, each associated with distinct biological pathways and clinical outcomes, were externally validated across 22 datasets. Subtype-specific bio",N
42244509,PMC13231244,A five-gene mitochondria-associated prognostic signature for bladder cancer.,2026,extracted,high,abstract_window,5,COX7A1|MTHFD1L|MTG1|SCO2|ACP6,"adder cancer-related differentially expressed genes (BLCA-related DEGs) with the mitochondrial-related gene database (MitoCarta 3.0 genes) to find the mitochondria-related differentially expressed genes (Mitochondria-related DEGs). Construction of a prognosis model using univariate (uni), lasso, and multivariate Cox regression analyses, was used for verificaiotn in 2 gene expression profile public databases (GEO cohorts). Functional enrichment (func enrich), tumor microenvironment (tumor microen",N
42059994,PMC13272733,Development and validation of an interpretable prognostic model for bladder cancer based on lactylation associated genes using SHAP analysis.,2026,extracted,high,abstract,4,ATAD3A|MKI67|VWF|CCL2,"A 4-gene risk model comprising ATAD3A, MKI67, VWF, and CCL2 was ultimately established.",Y
41992284,PMC13214285,Integrative analysis of myeloid cell signatures identifies a prognostic risk model and potential mechanisms in bladder cancer.,2026,extracted,high,abstract_window,6,CD68|CD14|CD74|CD163|S100A12|FOXP3,"and therapeutic response; however, their prognostic significance in BLC remains incompletely understood. METHODS: The prognostic value of individual myeloid cell markers was evaluated using immunohistochemistry and survival analyses. A myeloid-based prognostic model was constructed using least absolute shrinkage and selection operator (LASSO) regression. The model was validated across multiple independent cohorts. Multiplex immunofluorescence staining and RNA sequencing were performed to investi",Y
41981124,PMC13269820,Spatial transcriptomics of en bloc transurethral resection of bladder tumor specimens defines an invasive-front gene expression signature.,2026,extracted,high,fulltext,15,TIMP2|INHBA|SPON1|SLURP2|HHIP|DES|POSTN|COMP|FBLN5|ACTG2|LUM|ISLR|CDH11|MYH11|SPARCL1,"Gene set enrichment analysis (GSEA) was performed using the fgsea package (v 1.28.0), ranking all genes by log2FC and employing the Molecular Signature Database (MSigDB).Calculation of the 15-gene signature scoreWe defined the 15-gene signature score comprising “TIMP2”, “INHBA”, “SPON1”, “SLURP2”, “HHIP”, “DES”, “POSTN”, “COMP”, “FBLN5”, “ACTG2”, “LUM”, “ISLR”, “CDH11”, “MYH11”, and “SPARCL1”.",Y
42052292,PMC13111456,Integrate single-cell and transcriptome analyses to explore the prognostic genes related to TRPM4 in bladder cancer.,2026,extracted,high,fulltext_window,6,FAM193B|UNC93B1|FBN1|MAP1B|POGLUT3|RUNX2,nalysis of the top five most significant drugs between HRGs and LRGs based on IC50 prediction. (B) Heatmap of the top 50 IC50 correlations between all key genes in the risk prediction model and therapeutic drugs. (C–F) Immunohistochemical results of risk model-related genes in bladder tumors and normal tissues from the HPA database. Immunohistochemical results of FAM193B in normal tissue (C). Immunohistochemical results of FAM193B in tumor tissue (D). Immunohistochemical results of UNC93B1 in no,Y
41870815,PMC13133299,Construction and evaluation of a bladder cancer prognosis model based on super-enhancer-associated genes.,2026,extracted,high,abstract,3,MXRA7|PLEKHG4B|ATP2B4,"A prognosis model based on MXRA7, PLEKHG4B and ATP2B4 was finally constructed.",Y
41971137,PMC13062870,Identification of RNA processing-related gene-based bladder cancer subtypes for prognosis and immune landscape assessment.,2026,extracted,high,fulltext_window,5,WBP1|TOX3|MYC|KRT5|GNLY," cohort identified 115 survival-associated candidate genes (P<0.05; Table S4). Subsequently, LASSO regression refined this list to 19 feature genes (Figure 3A,3B). Finally, multivariate Cox analysis selected 8 key genes from these to build the final prognostic model (Figure 3C):Figure 3Prognostic model development and validation. (A) LASSO coefficient profiles. (B) λ-selection cross-validation curve. (C) Forest plot of multivariate regression analysis. (D) Differences in expression levels of fea",Y
41809788,PMC12968909,Machine learning identifies a DNA repair-related risk model for bladder cancer and functionally characterizes ZWINT as a potential oncogenic factor.,2026,extracted,high,fulltext_window,3,ZWINT|ZW10|STAT3,"9. Ying H, Xu Z, Chen M, et al. Overexpression of Zwint predicts poor prognosis and promotes the proliferation of hepatocellular carcinoma by regulating cell-cycle-related proteins. Onco T argets Ther 2018;11:689-702. Liang et al. DNA repair-related risk model and ZWINT in BCaPage 18 of 18 © AME Publishing Company. Transl Androl Urol 2026;15(2):46 | https://dx.doi.org/10.21037/tau-2025-710 30. Wang H, Hu X, Ding X, et al. Human Zwint-1 specifies localization of Zeste White 10 to kinetochores and",Y
41809777,PMC12968932,Development and validation of a gemcitabine sensitivity-related long noncoding RNA signature for predicting the prognosis and subtypes of bladder cancer.,2026,extracted,high,fulltext_window,5,TP53|TTN|KMT2D|MUC16|ARID1A,"r sensitivity compared to low-risk patients (Figure S2B). Expression patterns of GSRlncRNAs and risk categories were visualized through heatmaps (Figure S3A,S3B). Notably, patient survival probability exhibited an inverse correlation with increasing risk score.Figure 4Development and validation of a GSRlncRNA signature in BLCA. (A) A total of 101 algorithm combinations and their average C-index values displayed in the bar chart on the right. (B,C) The high- and low-risk groups demonstrating dist",Y
41836241,PMC12982074,A systematic characterization of amino acid metabolism-related genes reveals molecular subtypes and a prognostic signature in bladder cancer.,2026,extracted,high,fulltext,16,SLC7A11|SLC6A17|SLC1A6|SLC38A4|DARS2|BBOX1|PSMA2|PYCR1|SLC6A2|CGA|SLC7A9|GRM7|NAALAD2|PSPH|ACY1|IYD,"The final prognostic model included 16 key genes (Figure 4D), and the corresponding risk score formula was calculated as follows: Risk Score = (0.0570×SLC7A11) + (0.0421×SLC6A17) + (0.0380×SLC1A6) + (0.0282×SLC38A4) + (0.0258×DARS2) + (0.0226×BBOX1) + (0.0189×PSMA2) + (0.0187×PYCR1) + (0.0185×SLC6A2) + (0.0156×CGA) + (0.0147×SLC7A9) + (0.0120×GRM7) + (0.0090×NAALAD2) + (0.0085×PSPH) + (0.0052×ACY1) + (0.0019×IYD).",Y
41533176,PMC12891303,Single-cell and immune-context integration identifies basement-membrane/metastasis signatures that sharpen bladder-cancer diagnosis and prognosis.,2026,extracted,high,abstract,6,SERPINF1|DDR2|SLIT2|HSPG2|ECM1|RECK,"Single-cell and spatial transcriptomics localized key genes to cancer-associated fibroblasts(CAFs).Through analysis of metastasis and basement membrane-associated DEGs, 18 candidate MBRGs were identified and refined via univariate Cox and SHAP to a 6-gene signature (SERPINF1, DDR2, SLIT2, HSPG2, ECM1, RECK).",Y
41584451,PMC12824457,A novel prognostic model based on epithelial cell progression genes identifies OAS1 as a suppressor of bladder cancer aggressiveness.,2025,extracted,high,fulltext,4,OAS1|AOC2|HSH2D|HOXB5,"Using the DEGs identified in the BLCA subtype, we built a prognostic risk model comprising four genes (OAS1, AOC2, HSH2D, and HOXB5) and validated it using the E-MTAB-4321 arrayExpress dataset.",Y
42159275,PMC13191138,Development and verification of cell cycle-related gene markers for prognosis in bladder cancer.,2026,extracted,high,fulltext,10,COL11A1|COL1A1|COL1A2|COL3A1|COL5A1|COL5A2|COMP|TNN|THBS4|SPP1,"Based on their functional properties, the 33 core genes used to construct the prognostic model were categorized into six groups: (1) extracellular matrix and structural genes (COL11A1, COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, COMP, TNN, THBS4, SPP1); 23 (2) calcium channel and signal transduction-related genes (CACNA2D1, CACNG6, GNG4, PTPRR, DUSP2); 24 (3) growth factors and receptor-associated genes (FGF1, FGF7, FGF14, FGFR1, HGF, IGF1, PDGFRB, TGFB3, GAS1); 25 (4) development and morphology-reg",Y
41505248,PMC12782153,Machine Learning Integration Framework Constructs a Lactylation-Associated Gene Signature to Improve Prognosis in Bladder Cancer.,2026,extracted,high,fulltext_window,7,AHNAK|CALR|G6PD|SATB1|VIM|CACYBP|XPO5,"ork and calculated the C‐index for each combination across all TCGA and GEO cohorts. We found that the combination of the CoxBoost and SuperPC methods resulted in the highest average C‐index across all cohorts. Ultimately, we constructed the optimal prognostic model using 8 genes (Figure 2A,B). Then we calculated the risk score for each BCa patient utilizing the following formula:Riskscore=AHNAK×0.219395117274817+CALM×0.0846915536656999+CALR×0.0299443742371303+G6PD×0.171443752349604+SATB1×−0.062",Y
41337795,,Natural killer cell-related gene signature predicts immune cell infiltration and improved survival in bladder cancer.,2026,extracted,high,fulltext,8,IFNB1|KLRK1|CLEC12B|IL21|WIPF1|RAC3|MAP2K1|NFATC2,The signature risk score was calculated as: risk score = ( ,Y
41357226,PMC12675356,Gene signature for response prediction to immunotherapy and prognostic markers in metastatic urothelial carcinoma.,2025,extracted,high,abstract,5,LYRM1|RFC4|CENPL|SPAG5|CACYBP,"From our signature, we identified key prognostic biomarkers, with the top five markers LYRM1, RFC4, CENPL, SPAG5, and CACYBP (Benjamini-Hochberg adjusted P < 0.0025) in the IMvigor210 dataset.",Y
41252049,PMC12627312,Utilizing a novel mitochondrial-related gene signature for predicting the prognosis and immunological impact in bladder cancer.,2025,extracted,high,abstract,6,MAP1B|PYCR1|HSD3B1|KLK6|AKR1B15|TAT,"Our mitochondrial-related risk model incorporating six core genes (MAP1B, PYCR1, HSD3B1, KLK6, AKR1B15, and TAT) - exhibited robust prognostic capability (3-years AUC = 0.695 in TCGA-BLCA, 0.798 in GEO-GSE32894, 0.703 in GSE13507).",Y
41216727,,Construction and mechanistic exploration of a ferroptosis related gene based prognostic model for cisplatin resistance in bladder cancer.,2025,extracted,high,abstract_window,3,SLC1A4|TXNIP|PLIN4,"zed transcriptomic data from 44 cisplatin-treated bladder cancer patients to identify cisplatin-ferroptosis-related genes (CFRGs). Using machine learning and Cox regression, we developed a model and profiled the tumor microenvironment.The three gene signature stratified patients into high-risk and low-risk groups. SLC1A4 was markedly upregulated in tumors.Our data suggest SLC1A4, TXNIP, and PLIN4 are involved in ferroptosis mediated cisplatin resistance in BLCA, findings which merit further stud",N
41198839,PMC12592699,Integration of Single-cell and bulk RNA sequencing data uncovers lymphatic metastasis-related prognostic genes and a predictive model in bladder cancer.,2025,extracted,high,abstract,9,APOL1|CAST|DSTN|SPINK1|JUN|S100A10|SPTBN1|HES1|CD2AP,"The prognostic model, derived from nine key genes (APOL1, CAST, DSTN, SPINK1, JUN, S100A10, SPTBN1, HES1, and CD2AP), demonstrated robust predictive performance.",Y
